RECORD_ID,ORIGINAL_BAND,SPECIES_ID,LAT_DD,LON_DD,EVENT_DATE,MIN_AGE_AT_ENC,BIRD_STATUS,HOW_OBTAINED,ISO_COUNTRY,SIGHTINGS,flock
-40314171,B19465210536,1940,40.91667,-117.58,1960-06-01,0.0,3,,US,2,0
-74395577,B69465962695,1940,43.91667,-69.41,1960-06-22,0.0,3,,US,2,0
-89061709,B99495036583,1940,44.91667,-83.41,1960-07-01,0.0,3,,US,2,0
-40308270,B49495036495,1940,44.91667,-83.41,1960-07-01,0.0,3,,US,2,0
-40329809,B99495649625,1940,44.91667,-83.41,1960-07-10,0.0,3,,US,2,0
-10619415,B19465210536,1940,39.41667,-118.75,1960-11-11,0.42,,1.0,US,2,0
-52832917,B99449239474,1940,41.58333,-83.08,1961-03-29,0.0,3,,US,2,0
-87929165,B59385627873,1940,38.41667,-76.58,1961-05-22,0.0,3,,US,2,0
-89077977,B99495539549,1940,38.41667,-76.58,1961-05-24,0.0,3,,US,2,0
-88932884,B69465070500,1940,44.91667,-81.41,1961-06-11,0.0,3,,CA,2,80
-74510848,B59495137639,1940,45.08333,-83.25,1961-06-11,0.0,3,,US,2,79
-55517400,B99495137785,1940,45.08333,-83.25,1961-06-11,0.0,3,,US,2,79
-40306609,B59465070594,1940,44.91667,-81.41,1961-06-11,0.0,3,,CA,2,80
-40306606,B49465070410,1940,45.25,-81.75,1961-06-17,0.0,3,,CA,2,0
-88953672,B69465847384,1940,41.08333,-81.91,1961-06-18,0.0,3,,US,2,0
-88953673,B89465847326,1940,41.08333,-81.91,1961-06-18,0.0,3,,US,2,0
-74496078,B69465643679,1940,44.41667,-93.41,1961-07-02,0.0,3,,US,2,0
-88918937,B99465267525,1940,44.25,-93.25,1961-07-06,0.0,3,,US,2,81
-40306511,B59465267516,1940,44.25,-93.25,1961-07-06,0.0,3,,US,2,81
-10646325,B99465267525,1940,44.41667,-93.41,1961-07-08,0.08,,0.0,US,2,81
-10271550,B59495137639,1940,44.91667,-87.41,1961-08-12,0.17,,0.0,US,2,79
-10626192,B99495137785,1940,42.58333,-85.08,1961-10-22,0.33,,0.0,US,2,79
-10271551,B99495036583,1940,31.58333,-82.58,1962-01-22,1.58,,0.0,US,2,0
