latitude,longitude,date,capacity,plantid,type,Category
33.5907,-111.344,1927-06,99.8,145,Water,Hydro
48.713853,-121.131736,1936-10,90,6432,Water,Hydro
36.01551,-114.738006,1936-10,130,154,Water,Hydro
36.01551,-114.738006,1936-11,130,154,Water,Hydro
36.01551,-114.738006,1936-12,130,154,Water,Hydro
36.01551,-114.738006,1937-03,130,154,Water,Hydro
48.713853,-121.131736,1937-04,90,6432,Water,Hydro
36.01551,-114.738006,1938-06,130,154,Water,Hydro
36.01551,-114.738006,1938-08,130,154,Water,Hydro
47.6777,-114.2339,1938-10,70.6,2188,Water,Hydro
36.01551,-114.738006,1939-06,130,8902,Water,Hydro
36.01551,-114.738006,1939-09,130,8902,Water,Hydro
35.150864,-84.177533,1940-05,70.6,2780,Water,Hydro
47.957511,-118.977323,1941-09,125,6163,Water,Hydro
36.01551,-114.738006,1941-10,130,8902,Water,Hydro
47.957511,-118.977323,1942-01,125,6163,Water,Hydro
47.957511,-118.977323,1942-04,125,6163,Water,Hydro
36.01551,-114.738006,1942-07,130,8902,Water,Hydro
36.01551,-114.738006,1943-01,127,8902,Water,Hydro
47.957511,-118.977323,1943-02,125,6163,Water,Hydro
47.957511,-118.977323,1943-08,125,6163,Water,Hydro
47.957511,-118.977323,1943-11,125,6163,Water,Hydro
47.957511,-118.977323,1944-02,125,6163,Water,Hydro
40.717455,-122.422274,1944-06,142,445,Water,Hydro
36.01551,-114.738006,1944-11,127,154,Water,Hydro
35.4507,-83.805,1945-01,81,2779,Water,Hydro
35.4507,-83.805,1945-03,92.7,2779,Water,Hydro
47.957511,-118.977323,1947-10,125,6163,Water,Hydro
40.717455,-122.422274,1948-03,142,445,Water,Hydro
47.957511,-118.977323,1948-04,125,6163,Water,Hydro
40.717455,-122.422274,1948-07,142,445,Water,Hydro
40.717455,-122.422274,1949-04,142,445,Water,Hydro
47.6777,-114.2339,1949-05,70.6,2188,Water,Hydro
47.957511,-118.977323,1949-05,125,6163,Water,Hydro
47.957511,-118.977323,1949-07,125,6163,Water,Hydro
47.957511,-118.977323,1949-09,125,6163,Water,Hydro
47.957511,-118.977323,1950-04,125,6163,Water,Hydro
47.957511,-118.977323,1950-07,125,6163,Water,Hydro
47.957511,-118.977323,1950-10,125,6163,Water,Hydro
47.957511,-118.977323,1951-04,125,6163,Water,Hydro
48.698056,-121.208611,1951-06,96.9,6431,Water,Hydro
47.957511,-118.977323,1951-06,125,6163,Water,Hydro
40.7686,-111.9289,1951-09,69,3648,Natural Gas,Natural Gas
47.957511,-118.977323,1951-09,125,6163,Water,Hydro
40.7281,-73.9742,1951-11,156.2,2493,Natural Gas,Natural Gas
41.573361,-73.96457,1951-12,72,2480,Natural Gas,Natural Gas
36.01551,-114.738006,1952-04,68.5,8902,Water,Hydro
36.01551,-114.738006,1952-05,130,8902,Water,Hydro
35.1009,-98.3524,1952-07,84,2964,Natural Gas,Natural Gas
36.01551,-114.738006,1952-09,130,8902,Water,Hydro
40.937939,-80.369007,1952-09,98,3138,Natural Gas,Natural Gas
48.341521,-114.01443,1952-10,107,2203,Water,Hydro
48.084444,-116.053056,1952-11,73.2,833,Water,Hydro
48.341521,-114.01443,1952-12,107,2203,Water,Hydro
48.732577,-121.06788,1952-12,112.5,6202,Water,Hydro
