RECORD_ID,ORIGINAL_BAND,SPECIES_ID,LAT_DD,LON_DD,EVENT_DATE,MIN_AGE_AT_ENC,BIRD_STATUS,HOW_OBTAINED,ISO_COUNTRY,SIGHTINGS,flock
-37947534,B49436603533,3490,40.91667,-105.08,1960-05-29,0.0,3,,US,2,0
-10493221,B49436603533,3490,40.75,-105.08,1960-06-11,0.08,,3.0,US,2,0
-74902897,B59436473516,3490,41.08333,-105.41,1960-06-23,0.0,3,,US,2,0
-55330031,B29436027017,3490,42.91667,-106.25,1960-07-01,0.0,3,,US,2,0
-37940009,B69436165634,3490,62.41667,-114.41,1960-07-16,0.0,3,,CA,2,0
-10999360,B59436473516,3490,41.41667,-104.75,1960-12-15,0.5,,1.0,US,2,0
-11886957,B29436027017,3490,42.91667,-106.25,1961-01-04,0.58,,0.0,US,2,0
-37953510,B49436785694,3490,37.41667,-121.91,1961-05-17,0.0,3,,US,2,0
-37939986,B19436192523,3490,46.58333,-103.58,1961-06-17,0.0,3,,US,2,0
-74963407,B99436183528,3490,47.25,-103.41,1961-06-18,0.0,3,,US,2,0
-10268656,B19436192523,3490,45.91667,-103.58,1961-12-29,0.5,,4.0,US,2,0
-11887854,B99436183528,3490,46.58333,-104.08,1962-05-29,0.92,,0.0,US,2,0
-54599528,B79436470530,3490,44.25,-105.41,1962-06-15,0.0,3,,US,2,0
-37953467,B49436415291,3490,45.91667,-110.58,1963-06-12,0.0,3,,US,2,32
12010748,B29436415276,3490,45.91667,-110.58,1963-06-12,0.0,3,,US,2,32
12010746,B49436415291,3490,45.91667,-110.58,1963-06-12,0.0,3,,US,2,32
-37953466,B29436415276,3490,45.91667,-110.58,1963-06-12,0.0,3,,US,2,32
-54603219,B29436405274,3490,41.58333,-107.25,1963-06-13,0.0,3,,US,2,0
12012428,B39436243502,3490,45.41667,-110.91,1963-06-14,0.0,3,,US,2,0
12010750,B69436415151,3490,45.41667,-110.75,1963-06-14,0.0,3,,US,2,0
-37944490,B69436415151,3490,45.41667,-110.75,1963-06-14,0.0,3,,US,2,0
-37939940,B39436243502,3490,45.41667,-110.91,1963-06-14,0.0,3,,US,2,0
12010848,B59436415501,3490,45.91667,-110.58,1963-06-19,0.0,3,,US,2,18
12010726,B39436415543,3490,45.91667,-110.58,1963-06-19,0.0,3,,US,2,18
-37961060,B39436415543,3490,45.91667,-110.58,1963-06-19,0.0,3,,US,2,18
-74903099,B99436415529,3490,45.91667,-110.58,1963-06-19,0.0,3,,US,2,18
12010728,B99436415529,3490,45.91667,-110.58,1963-06-19,0.0,3,,US,2,18
-89649987,B59436415501,3490,45.91667,-110.58,1963-06-19,0.0,3,,US,2,18
-55420488,B39436243544,3490,45.91667,-110.58,1963-06-30,0.0,3,,US,2,6
12012424,B39436243544,3490,45.91667,-110.58,1963-06-30,0.0,3,,US,2,6
12012426,B99436243523,3490,45.41667,-110.91,1963-06-30,0.0,3,,US,2,0
-89635778,B99436243523,3490,45.41667,-110.91,1963-06-30,0.0,3,,US,2,0
-37953516,B59436085269,3490,50.91667,-107.08,1963-07-01,0.0,3,,CA,2,0
