record_id,species,flock,nbirds,latitude,longitude,date,isoCountry
0,Whooping_Crane,1,9,60.28016629,-113.4056919,28307,CA
1,Whooping_Crane,1,6,48.60896793,-103.2544052,28399,CA
2,Whooping_Crane,1,10,30.99443295,-97.30770048,28430,US
3,Whooping_Crane,1,2,37.41669611,-100.3441177,28581,US
4,Whooping_Crane,1,5,60.26764556,-113.4483485,28703,CA
5,Whooping_Crane,1,1,52.25,-109.58,28734,CA
6,Whooping_Crane,1,4,38.96689813,-99.9582202,28764,US
7,Whooping_Crane,1,2,41.5852463,-99.38235294,28795,US
8,Whooping_Crane,1,1,48.41667,-104.41,28946,US
9,Whooping_Crane,1,5,60.25001722,-113.3726667,29068,CA
10,Whooping_Crane,1,3,49.16160955,-108.7729816,29099,CA
11,Whooping_Crane,1,2,52.42326081,-107.83,29129,CA
12,Whooping_Crane,1,1,36.75,-98.25,29160,US
13,Whooping_Crane,1,2,35.58333,-99.25,29342,US
14,Whooping_Crane,1,4,60.25002109,-113.3581081,29434,CA
15,Whooping_Crane,1,3,53.06318681,-107.4388156,29465,CA
16,Whooping_Crane,1,6,51.54242918,-105.6574716,29495,CA
17,Whooping_Crane,1,1,52.58333,-109.41,29830,CA
18,Whooping_Crane,1,8,51.90674401,-107.4589712,29860,CA
19,Whooping_Crane,1,4,60.10828189,-112.9658171,30164,CA
20,Whooping_Crane,1,10,52.02774112,-107.0361351,30195,CA
21,Whooping_Crane,1,26,51.19837138,-105.4315527,30225,CA
22,Whooping_Crane,1,8,37.74686593,-98.43737392,30256,US
23,Whooping_Crane,1,20,42.1452329,-101.0203016,30407,US
24,Whooping_Crane,1,2,52.97737963,-107.6421569,30437,US
25,Whooping_Crane,1,6,60.23750647,-113.3979436,30529,CA
26,Whooping_Crane,1,13,53.8819131,-107.9445291,30560,CA
27,Whooping_Crane,1,53,40.82221807,-100.2781698,30590,US
28,Whooping_Crane,1,5,48.34424702,-102.8198754,30621,US
29,Whooping_Crane,1,37,36.82060782,-99.09895571,30773,US
30,Whooping_Crane,1,14,46.18827614,-102.4583485,30803,US
31,Whooping_Crane,1,9,60.15933581,-113.3227399,30895,CA
32,Whooping_Crane,1,15,44.3925863,-101.6668567,30956,US
33,Whooping_Crane,1,3,42.27071449,-99.61670849,30987,US
34,Whooping_Crane,1,1,29.08333,-96.25,31017,US
35,Whooping_Crane,1,5,41.52228671,-99.44790836,31138,US
36,Whooping_Crane,1,16,60.23758118,-113.2612518,31260,CA
37,Whooping_Crane,1,1,52.41667,-107.41,31291,CA
38,Whooping_Crane,1,19,46.54339045,-101.0977326,31321,US
39,Whooping_Crane,1,2,28.91667,-95.41,31382,US
40,Whooping_Crane,1,2,28.91667,-95.41,31472,US
41,Whooping_Crane,1,10,42.38891993,-100.5422169,31503,US
42,Whooping_Crane,1,1,60.08333,-113.41,31533,CA
43,Whooping_Crane,1,16,59.54411611,-112.5885435,31625,CA
44,Whooping_Crane,1,5,51.38358618,-104.9513098,31656,CA
45,Whooping_Crane,1,6,45.65156914,-101.5681578,31686,CA
46,Whooping_Crane,1,26,38.4226497,-98.68556932,31717,US
47,Whooping_Crane,1,1,34.41667,-99.41,31747,US
48,Whooping_Crane,1,1,34.41667,-99.41,31778,US
49,Whooping_Crane,1,1,40.58333,-98.91,31837,US
50,Whooping_Crane,1,22,40.44780656,-100.2548331,31868,US
51,Whooping_Crane,1,1,50.58333,-105.75,31898,CA
52,Whooping_Crane,1,18,60.23661082,-113.1975941,31990,CA
53,Whooping_Crane,1,1,52.41667,-107.41,32021,CA
54,Whooping_Crane,1,46,42.1598847,-100.0486458,32051,US
55,Whooping_Crane,1,14,42.50075341,-100.2886959,32082,US
56,Whooping_Crane,1,3,38.77142354,-99.20848673,32112,US
57,Whooping_Crane,1,1,28.91667,-96.75,32143,US
58,Whooping_Crane,1,3,39.24905969,-101.8217578,32203,US
59,Whooping_Crane,1,32,47.40815931,-103.392182,32234,US
60,Whooping_Crane,1,9,47.85409238,-105.2745201,32264,US
61,Whooping_Crane,1,12,60.234047,-113.2534553,32356,CA
62,Whooping_Crane,1,1,27.91667,-97.08,32509,US
63,Whooping_Crane,1,1,40.75,-98.75,32568,US
64,Whooping_Crane,1,20,42.93019442,-100.2684895,32599,US
65,Whooping_Crane,1,15,48.29868632,-104.5232238,32629,CA
66,Whooping_Crane,1,7,49.70540307,-104.7399458,32660,CA
67,Whooping_Crane,1,5,51.52930383,-105.53066,32690,CA
68,Whooping_Crane,1,2,47.833335,-101.25,32721,US
69,Whooping_Crane,1,25,52.08555206,-106.3598724,32752,CA
70,Whooping_Crane,1,34,51.61430108,-105.8574145,32782,CA
71,Whooping_Crane,1,8,39.47471858,-98.53838237,32813,US
72,Whooping_Crane,1,1,28.75,-96.75,32874,US
73,Whooping_Crane,1,1,28.75,-96.75,32905,US
74,Whooping_Crane,1,19,47.3484907,-103.6780577,32964,CA
75,Whooping_Crane,1,11,49.98881239,-104.860994,32994,CA
76,Whooping_Crane,1,1,48.41667,-100.41,33025,US
77,Whooping_Crane,1,1,48.41667,-100.25,33055,US
78,Whooping_Crane,1,1,48.41667,-100.25,33086,US
79,Whooping_Crane,1,7,51.31298397,-105.756075,33117,CA
80,Whooping_Crane,1,16,51.05160282,-104.8481022,33147,CA
81,Whooping_Crane,1,11,37.85587378,-99.90681275,33178,US
82,Whooping_Crane,1,4,42.12860771,-99.66461443,33329,US
83,Whooping_Crane,1,7,52.56054571,-107.5745443,33482,CA
84,Whooping_Crane,1,10,50.34787161,-103.9676602,33512,CA
85,Whooping_Crane,1,1,36.25,-96.58,33543,US
86,Whooping_Crane,1,12,43.38621913,-101.0176276,33695,US
87,Whooping_Crane,1,9,43.27035342,-100.133308,33878,US
88,Whooping_Crane,1,3,44.80848663,-101.1029973,33909,US
89,Whooping_Crane,1,13,42.26882344,-99.87584555,34060,US
90,Whooping_Crane,1,14,40.87812525,-99.60609515,34243,US
91,Whooping_Crane,1,1,41.41667,-99.75,34274,US
92,Whooping_Crane,1,5,41.50135471,-99.33653293,34425,US
93,Whooping_Crane,1,5,47.39890056,-101.8637316,34455,US
94,Whooping_Crane,1,1,52.75,-107.08,34578,CA
95,Whooping_Crane,1,3,52.08487138,-106.6342803,34608,CA
96,Whooping_Crane,1,8,39.83985571,-99.0845939,34639,US
97,Whooping_Crane,1,1,37.75,-99.75,34790,US
98,Whooping_Crane,1,2,43.91667,-99.58,34820,US
99,Whooping_Crane,1,4,38.66888338,-98.76678454,34973,US
100,Whooping_Crane,1,6,41.96728095,-99.34287228,35156,US
101,Whooping_Crane,1,3,52.41667,-107.41,35309,CA
102,Whooping_Crane,1,14,47.42410133,-103.4785867,35339,CA
103,Whooping_Crane,1,9,42.25070629,-99.24361364,35521,US
104,Whooping_Crane,1,5,45.21711123,-96.09961212,35704,US
105,Whooping_Crane,1,3,49.52420293,-104.0037652,35735,CA
106,Whooping_Crane,1,2,50.33886742,-104.6849072,36069,CA
107,Whooping_Crane,1,1,48.75,-103.41,36100,US
108,Whooping_Crane,1,1,38.08333,-98.41,36130,US
109,Whooping_Crane,1,4,43.1809836,-99.45854864,36251,US
110,Whooping_Crane,1,3,52.7501131,-107.1413202,36434,CA
111,Whooping_Crane,1,2,48.58333,-103.08,36465,US
112,Whooping_Crane,1,1,47.91667,-101.75,36617,US
113,Whooping_Crane,1,2,43.57439383,-100.8969224,37347,US
114,Whooping_Crane,1,1,41.58333,-99.41,37530,US
115,Whooping_Crane,1,1,41.58333,-99.41,37561,US
116,Whooping_Crane,1,1,37.75,-98.58,37712,US
117,Whooping_Crane,1,5,36.90749563,-98.79501646,37926,US
118,Whooping_Crane,1,4,45.8757314,-101.6153083,38078,US
119,Whooping_Crane,1,1,48.91667,-103.08,38292,US
120,Whooping_Crane,1,1,52.25,-105.75,38626,CA
121,Whooping_Crane,1,1,28.25,-96.91,40878,US
