RECORD_ID,ORIGINAL_BAND,SPECIES_ID,LAT_DD,LON_DD,EVENT_DATE,MIN_AGE_AT_ENC,BIRD_STATUS,HOW_OBTAINED,ISO_COUNTRY,SIGHTINGS,flock
-88531931,B09316700549,2040,43.08333,-111.41,1975-08-01,0.0,3,,US,2,0
-40230182,B09316700307,2040,43.08333,-111.41,1976-08-19,0.0,3,,US,2,0
-10600843,B09316700307,2040,37.41667,-106.08,1976-10-07,0.33,,13.0,US,2,0
-74432117,B79466727506,2040,60.25,-113.08,1977-07-29,0.0,3,,CA,7,1
-88916500,B59466727516,2040,60.25,-113.25,1977-07-29,0.0,3,,CA,6,1
-74432118,B69466727547,2040,60.41667,-113.91,1977-07-29,0.0,3,,CA,14,1
-88916502,B49466727532,2040,60.25,-113.41,1977-07-29,0.0,3,,CA,12,1
-88916501,B99466727527,2040,60.25,-113.25,1977-07-29,0.0,3,,CA,9,1
-88915877,B29466727576,2040,60.25,-113.41,1977-07-30,0.0,3,,CA,7,1
-74432116,B59466727597,2040,60.25,-113.08,1977-07-30,0.0,3,,CA,3,1
-88915876,B79466727564,2040,60.25,-113.25,1977-07-30,0.0,3,,CA,10,1
-88916499,B79466727586,2040,60.25,-113.41,1977-07-30,0.0,3,,CA,10,1
-40226278,B69466044036,2040,43.08333,-111.41,1977-08-10,0.0,3,,US,2,0
-10621003,B79466727586,2040,51.41667,-105.08,1977-10-16,0.33,,29.0,CA,10,1
-10621004,B79466727586,2040,51.25,-105.41,1977-10-16,0.33,,29.0,CA,10,1
-10601788,B99466727527,2040,52.91667,-109.58,1977-10-24,0.33,,29.0,CA,9,1
-10266055,B59466727516,2040,40.91667,-98.75,1977-10-27,0.33,,29.0,US,6,1
-11031289,B79466727564,2040,48.41667,-101.08,1977-10-28,0.33,,29.0,US,10,1
-11024188,B49466727532,2040,44.58333,-100.41,1977-10-30,0.33,,29.0,US,12,1
-10601787,B69466727547,2040,28.25,-96.75,1977-11-02,0.42,,29.0,US,14,1
-10621002,B59466727597,2040,48.91667,-102.41,1977-11-03,0.42,,29.0,US,3,1
-10621001,B79466727586,2040,44.41667,-100.58,1977-11-05,0.42,,29.0,US,10,1
-10621000,B79466727564,2040,28.25,-96.75,1977-11-05,0.42,,29.0,US,10,1
