index	species	id	date	coords	fossilCount	windCount	borderCount	hydroCount	distanceCount	nbirds_x	duration	continuity_%	flock
361	Whooping_Crane	B69316767177	1986-11-01	[[-113.25, 60.25000000000001], [-99.41, 34.41667]]	0	0	1	0	3041.6770296022924	1	38	34.21052631578947	1.0
362	Whooping_Crane	B69316767177	1986-12-01	[[-99.41, 34.41667], [-99.41, 34.41667]]	0	0	0	0	0.0	1	38	34.21052631578947	1.0
363	Whooping_Crane	B69316767177	1987-02-01	[[-99.41, 34.41667], [-98.91, 40.58333]]	0	0	0	0	687.1147151347533	1	38	34.21052631578947	1.0
364	Whooping_Crane	B69316767177	1987-03-01	[[-98.91, 40.58333], [-98.91, 40.58333]]	0	0	0	0	0.0	1	38	34.21052631578947	1.0
365	Whooping_Crane	B69316767177	1987-09-01	[[-98.91, 40.58333], [-104.75, 51.75000000000001]]	0	0	1	0	1319.5461521816724	1	38	34.21052631578947	1.0
366	Whooping_Crane	B69316767177	1987-10-01	[[-104.75, 51.75000000000001], [-96.75, 28.916670000000003]]	0	0	1	0	2624.183837724085	1	38	34.21052631578947	1.0
367	Whooping_Crane	B69316767177	1987-12-01	[[-96.75, 28.916670000000003], [-96.75, 28.916670000000003]]	0	0	0	0	0.0	1	38	34.21052631578947	1.0
368	Whooping_Crane	B69316767177	1988-02-01	[[-96.75, 28.916670000000003], [-98.58, 35.58333]]	0	0	0	0	760.9640268458517	1	38	34.21052631578947	1.0
369	Whooping_Crane	B69316767177	1988-03-01	[[-98.58, 35.58333], [-98.58, 40.75000000000001]]	0	0	0	0	574.5074916466426	1	38	34.21052631578947	1.0
370	Whooping_Crane	B69316767177	1989-02-01	[[-98.58, 40.75000000000001], [-98.75, 40.75000000000001]]	0	0	0	0	14.320352849145415	1	38	34.21052631578947	1.0
371	Whooping_Crane	B69316767177	1989-03-01	[[-98.75, 40.75000000000001], [-98.75, 40.75000000000001]]	0	0	0	0	0.0	1	38	34.21052631578947	1.0
372	Whooping_Crane	B69316767177	1989-12-01	[[-98.75, 40.75000000000001], [-96.75, 28.75]]	0	0	0	0	1346.680940111723	1	38	34.21052631578947	1.0
373	Whooping_Crane	B69316767177	1990-01-01	[[-96.75, 28.75], [-96.75, 28.75]]	0	0	0	0	0.0	1	38	34.21052631578947	1.0
453	Whooping_Crane	B39316767857	1988-03-01	[[-113.08, 60.25000000000001], [-102.08, 43.75]]	0	0	1	0	1977.088021345716	1	79	16.455696202531644	3.0
454	Whooping_Crane	B39316767857	1988-04-01	[[-102.08, 43.75], [-104.97156686428593, 47.124606987968406]]	0	0	1	0	437.7667165819955	1	79	16.455696202531644	3.0
